label,youtube_id,time_start,time_end,split,is_cc
abseiling,0wR5jVB-WPk,417,427,val,0
abseiling,3caPS4FHFF8,36,46,val,0
abseiling,3yaoNwz99xM,62,72,val,1
abseiling,6IbvOJxXnOo,47,57,val,0
abseiling,6_4kjPiQr7w,191,201,val,0
abseiling,9EnSwbXxu5g,56,66,val,0
abseiling,9eTXpQq9QTA,126,136,val,0
abseiling,ASFOR-PFsiM,40,50,val,0
abseiling,bd6eUL9prjI,102,112,val,0
abseiling,bFdTLPL8TTM,169,179,val,0
abseiling,BiKRPPjAzvw,17,27,val,0
abseiling,BJ8ZBTYXyAE,76,86,val,1
abseiling,bjtnAh_wz1c,2,12,val,0
abseiling,BXXE1G7O5ec,30,40,val,0
abseiling,C0VVxIhDp9Q,21,31,val,0
abseiling,CBL6uetTPHg,89,99,val,0
abseiling,CQzUU7-cVck,6,16,val,0
abseiling,eA6KqKuVj-I,22,32,val,0
abseiling,EDgbHrT9H0U,65,75,val,0
abseiling,eHkBHH59-Js,115,125,val,0
abseiling,f2uK1SvWf5A,5,15,val,0
abseiling,G9zN5TTuGO4,179,189,val,0
abseiling,gGGlthnIB-4,36,46,val,0
abseiling,GwlcmI36imo,127,137,val,0
abseiling,hXtsZAaZ3yc,44,54,val,0
abseiling,IyNBDKyORFs,243,253,val,0
abseiling,lOpJLO8weZw,131,141,val,0
abseiling,n6lUXDwL4Y0,22,32,val,0
abseiling,O179fpfn1G4,40,50,val,0
abseiling,oMjg09l2zs0,676,686,val,0
abseiling,OMK0OJ4f_TI,0,10,val,0
abseiling,p1VKQa4N-hg,0,10,val,0
abseiling,Ptf_2VRj-V0,122,132,val,0
abseiling,qqJisE6m6XI,0,10,val,0
abseiling,rseBvhN6dio,3,13,val,0
abseiling,UFRaLM26S24,16,26,val,0
abseiling,VHJGX13S_UY,554,564,val,0
abseiling,Ww61iwaFGrM,59,69,val,0
abseiling,XaH22IFN81Y,56,66,val,0
abseiling,xjhF2VEkh0E,210,220,val,0
abseiling,xnyOA58A07Q,127,137,val,0
abseiling,y3-3i88mNPc,8,18,val,0
abseiling,YgzCJmncmUA,27,37,val,1
abseiling,YHCT_kezpfk,63,73,val,0
abseiling,YqTT34PsD5c,3,13,val,0
abseiling,yq_M1PMw2hY,38,48,val,0
abseiling,z9vSfUWX4pI,52,62,val,0
abseiling,Zv09PB3YQAs,10,20,val,0
abseiling,_aQSjArgAqA,123,133,val,0
abseiling,__NrybzYzUg,415,425,val,0
air drumming,--nQbRBEz2s,104,114,val,0
air drumming,2cPLjY5AWXU,1,11,val,0
air drumming,3K0Sw7rbzPU,114,124,val,0
air drumming,6Tnsmk9C2rg,48,58,val,0
air drumming,7LSJ2Ryv1a8,0,10,val,0
air drumming,9bx-YVn-N2s,0,10,val,0
air drumming,9MTTl2lMkcY,9,19,val,0
air drumming,a5XYYxIhZmY,81,91,val,0
air drumming,At8LPKnA9Zg,134,144,val,0
air drumming,BOw4uYkjImw,31,41,val,0
air drumming,btX0PMRlEPg,1,11,val,0
air drumming,cs4UM8n4-Jc,311,321,val,0
air drumming,CSz0mcaxur4,7,17,val,0
air drumming,DcwyDVypfYg,0,10,val,0
air drumming,dZpNgW8_5zI,3,13,val,0
air drumming,eZTQRUBQxqw,31,41,val,0
air drumming,f7Z6BmBkcq4,6,16,val,0
air drumming,fImfVlKAtco,1,11,val,0
air drumming,GUO-poN9EdQ,19,29,val,0
air drumming,hasHFfny_X0,8,18,val,0
air drumming,hcM3tCmCADE,19,29,val,0
air drumming,HoeC_GSXIqg,2,12,val,0
air drumming,HtlkxsU62ls,0,10,val,0
air drumming,iCT8VHCVRSc,21,31,val,0
air drumming,InSYAA9cJOs,15,25,val,0
air drumming,kOjkB7i1igc,3,13,val,0
air drumming,KSyJy4FnlHo,32,42,val,0
air drumming,LcToHcdZ3As,45,55,val,0
air drumming,mQYuteamGwA,3,13,val,0
air drumming,nd9oT-s_ISI,4,14,val,0
air drumming,oiRWRYPYVBE,62,72,val,0
air drumming,oJmjFdkJDSg,4,14,val,0
air drumming,pb803SLNzDU,3,13,val,0
air drumming,pj1OiSpSFI0,22,32,val,0
air drumming,QxZ5kYEJWxw,4,14,val,0
air drumming,RI1-69UIurQ,35,45,val,0
air drumming,S1fQycdwCGU,4,14,val,0
air drumming,sHOUanBw4cE,109,119,val,0
air drumming,tvkZCFum4lw,8,18,val,0
air drumming,UZDXOrI8il0,99,109,val,0
air drumming,VbQLp-cqHAA,102,112,val,0
air drumming,w5UCdQ2NmfY,1,11,val,0
air drumming,wO9odHj7Ukw,26,36,val,0
air drumming,WOCjeK86EVU,176,186,val,0
air drumming,XLkuBgAq6Bc,12,22,val,0
air drumming,xVam2K4WJ54,7,17,val,0
air drumming,ZHubd5uJjQ4,14,24,val,0
air drumming,ZQb3GWgx3wc,0,10,val,0
air drumming,_DNb_6w2cZM,1,11,val,0
answering questions,-egPJubR-CE,1,11,val,0
answering questions,-ejLPB4J4SM,106,116,val,0
answering questions,-emx5qjikEc,1,11,val,0
answering questions,0htNc0u9TDk,0,10,val,0
answering questions,1438aE9LMgY,55,65,val,0
answering questions,2wA2ZT_1gdc,1095,1105,val,0
answering questions,39Hvdi-q6qI,9,19,val,0
answering questions,4YSI_hAHShM,3,13,val,0
answering questions,5bGElGxGhbs,2934,2944,val,0
answering questions,5IqH-ONbhzI,0,10,val,0
answering questions,79HQBfG8wMQ,6,16,val,0
answering questions,AMuD4K62DUo,136,146,val,0
answering questions,AqPeHqTDfGE,68,78,val,1
answering questions,AZXoKz-EcL4,1772,1782,val,0
answering questions,c6n1_Br_Gi0,89,99,val,0
answering questions,dplRiYsjQUk,169,179,val,0
answering questions,dpn2eg9O3Rs,861,871,val,0
answering questions,DX7QDSwVC_8,59,69,val,0
answering questions,EO15LGshDfQ,28,38,val,0
answering questions,EPtO8MgegKM,3,13,val,0
answering questions,HvnLVSTwOUE,239,249,val,0
answering questions,hYgDbq7Uprg,123,133,val,0
answering questions,hYQlrWPJY3U,2,12,val,0
answering questions,ksSkRXtJmWg,424,434,val,0
answering questions,lsUHYUUtqn0,22,32,val,0
answering questions,naJp2IF0GxA,367,377,val,0
answering questions,naSQ6yg7E2Y,298,308,val,0
answering questions,njoCaIgSf7Q,124,134,val,0
answering questions,NqE4FpM7Ypk,251,261,val,0
answering questions,PHQkMPu-KNo,22,32,val,0
answering questions,Qbo_tnzfjOY,18,28,val,0
answering questions,Rtlp3CshdYc,301,311,val,0
answering questions,RVQIvrvwA8I,229,239,val,0
answering questions,SLJBlFHPinU,356,366,val,0
answering questions,tAg6J13kdFI,4,14,val,0
answering questions,tAnRE_25CsE,16,26,val,0
answering questions,tAwCQc4-0YU,113,123,val,0
answering questions,tAy33xmXZm0,564,574,val,0
answering questions,TitP4OIBMEo,554,564,val,0
answering questions,TZ0l4CSYI0Y,419,429,val,0
answering questions,u-xLgXHScxs,21,31,val,0
answering questions,UPujViBOznY,62,72,val,0
answering questions,wdEcmPUnNzQ,275,285,val,0
answering questions,wTdO7pISUgs,49,59,val,0
answering questions,wvQ3DHI8wiQ,48,58,val,0
answering questions,XAoAcyy2Psc,0,10,val,0
answering questions,Xw8kBptXWCE,24,34,val,0
answering questions,YiSAKcZsoik,2857,2867,val,0
answering questions,YsHcjLjEqR0,292,302,val,0
answering questions,ZL9yeFWRIHo,3,13,val,0
applauding,-PgjjBi_gqM,47,57,val,0
applauding,-r8c7F4tOI8,54,64,val,0
applauding,0CLLZNQN9aI,32,42,val,0
applauding,1tZdoKrBtM0,81,91,val,0
applauding,5uVHxPCk7d4,2,12,val,0
applauding,5wIMOviYnW8,31,41,val,0
applauding,8iWfa8K6q9k,7,17,val,0
applauding,8xGUrnwsQJw,2,12,val,0
applauding,9vOxThR8gns,13,23,val,0
applauding,A70byjNkwdA,1,11,val,0
applauding,ahOb8tHOGrk,0,10,val,0
applauding,ai59xGTp2bo,8,18,val,0
applauding,CpeXj_A8YKY,38,48,val,0
applauding,c_RslZ5vuug,3,13,val,0
applauding,FdmA_E8kmgI,15,25,val,0
applauding,gzpT3lhceeo,89,99,val,0
applauding,hjKnYwZaVX4,5,15,val,0
applauding,i4ssdweKkZY,0,10,val,0
applauding,ieIq7ym_UXQ,7,17,val,0
applauding,iuJgXPBvrWU,0,10,val,0
applauding,jgBAA2mKCIM,47,57,val,0
applauding,jJZQ9oDX2uw,7,17,val,0
applauding,j_OsTAVXTWQ,70,80,val,0
applauding,krN9P22ZURk,16,26,val,0
applauding,k_jAwU5eWI8,1,11,val,0
applauding,LMGRuga2Y_Y,8,18,val,0
applauding,m8Q1EInqOCk,87,97,val,0
applauding,mJflYvfqiNQ,7,17,val,0
applauding,NhookIisNLk,49,59,val,0
applauding,nU8SAk0OogA,64,74,val,0
applauding,oBYZWvlI8Uk,25,35,val,0
applauding,ohCzKMVmdEE,16,26,val,0
applauding,PK4z1a895l8,9,19,val,0
applauding,pWBHLw7HWR4,13,23,val,0
applauding,pza8u9hick8,4,14,val,0
applauding,q9tSvBgtRo4,118,128,val,0
applauding,QqlTEhzK_Gw,15,25,val,0
applauding,RaKzWVLJsqw,2,12,val,0
applauding,rlUmXrvdmSo,0,10,val,0
applauding,rVNnXIWCe8E,2,12,val,0
applauding,sJVpRaqJ-I8,0,10,val,0
applauding,svVhMowxtT0,0,10,val,0
applauding,t5fAR8y0lb0,98,108,val,0
applauding,uM3T4tShCNU,8,18,val,0
applauding,vYau9SZXn54,37,47,val,0
applauding,xpXwB-VsEs4,317,327,val,0
applauding,y5xuvHpDPZQ,5,15,val,0
applauding,YSGHvSk3xqY,1,11,val,0
applauding,YVx4Ct36FwQ,37,47,val,0
applauding,Z_dmlc4Sz3c,45,55,val,0
applying cream,-mouPHwsYD8,89,99,val,0
applying cream,-OpOh05PYcw,2,12,val,0
applying cream,0cONsRVrLbU,23,33,val,0
applying cream,1M7RcHl3hHU,176,186,val,0
applying cream,2-OY-ICQecA,179,189,val,0
applying cream,3dqMW1llc0c,26,36,val,0
applying cream,4AXgoVCi1YQ,2,12,val,0
applying cream,4R7DbudEm8U,137,147,val,0
applying cream,6ufl42MTbA4,113,123,val,0
applying cream,7Mga5kywfU4,107,117,val,0
applying cream,a-Nl_2di4oU,126,136,val,0
applying cream,a2MRNCs4F3A,28,38,val,0
applying cream,BY0883Dvt1c,20,30,val,0
applying cream,C5Yqp_3ROlE,2,12,val,0
applying cream,CeytOatOhNY,382,392,val,0
applying cream,es76akdQGws,218,228,val,0
applying cream,eu1rVQkOuPc,18,28,val,0
applying cream,FcyIa1Fmg9A,33,43,val,0
applying cream,G-c2dx61L8Q,379,389,val,0
applying cream,g29fncASAic,64,74,val,0
applying cream,hFRHDsPC8EE,32,42,val,0
applying cream,IWQQ1uBu2ko,234,244,val,0
applying cream,j7VkvDry8NA,9,19,val,0
applying cream,jIle7nDZPfk,95,105,val,0
applying cream,JTbC0TCeLkU,35,45,val,0
applying cream,K0RAdmpnfuc,109,119,val,0
applying cream,k1SgRqW-rnM,29,39,val,0
applying cream,KgE1nhFYH4k,22,32,val,0
applying cream,LgW8pMDtylE,41,51,val,0
applying cream,MMMabYYxsew,0,10,val,0
applying cream,M_iCOtGn9S0,12,22,val,0
applying cream,nnGtGUModT0,7,17,val,0
applying cream,OEGarMnMljQ,7,17,val,0
applying cream,q-kzc-82_54,17,27,val,0
applying cream,Q6EWIIHwOHw,196,206,val,0
applying cream,QzZDEzM2uZA,8,18,val,0
applying cream,rFee2NCkWQE,13,23,val,0
applying cream,T3Ba9GbQn7g,72,82,val,0
applying cream,tcqZLCH3TUQ,31,41,val,0
applying cream,tkkRBRYUP1U,58,68,val,0
applying cream,tLaGXcUF8n4,18,28,val,0
applying cream,tVcviCxEy10,380,390,val,0
applying cream,TYqirauBM1w,7,17,val,0
applying cream,U3_S9Fs3hFQ,103,113,val,0
applying cream,V9UVEryEje8,14,24,val,0
applying cream,xfTN7dmHB1w,7,17,val,0
applying cream,XXPBkCkC2tQ,21,31,val,0
applying cream,yQe_2Yk6NPM,37,47,val,0
applying cream,Z0Gm7WTyk-o,51,61,val,0
applying cream,zA42d5OTSXU,42,52,val,0
archery,-Qz25rXdMjE,14,24,val,0
archery,-UJgyiWe500,29,39,val,0
archery,0S-P4lr_c7s,22,32,val,1
archery,27jJKXiB9Y8,9,19,val,0
archery,2x1lIrgKxYo,589,599,val,1
archery,36E29x22tnQ,18,28,val,0
archery,3and4vWkW4s,11,21,val,0
archery,3hoSk280ndk,25,35,val,0
archery,4hxnP0stMN0,3,13,val,0
archery,4wXnaqEDh3c,14,24,val,0
archery,4x9AMmWhCzw,4,14,val,0
archery,5rElcI860iU,75,85,val,0
archery,6hZC8cEONUw,20,30,val,0
archery,7RpY62s_AfY,56,66,val,0
archery,89Tu6aUtOYQ,3,13,val,0
archery,8f0U0oGyugQ,7,17,val,1
archery,9W09aRkVYC4,4,14,val,0
archery,aYRujsj9Z_Q,60,70,val,0
archery,c0cYF6RwWmg,3,13,val,0
archery,cIyLDvGWT6I,1,11,val,0
archery,CjMcGn6C3h0,3,13,val,0
archery,E15fuG-tYGM,14,24,val,0
archery,erSoY-STyBQ,207,217,val,1
archery,FzfqEd36YbY,1101,1111,val,0
archery,h6d2C-RWOTw,3,13,val,0
archery,hIgj5icZe7M,133,143,val,0
archery,IcXj4je-tto,0,10,val,0
archery,it-IIR-qUIg,150,160,val,0
archery,Jck4NlSIX-I,19,29,val,0
archery,Jfl-1zWi2Go,654,664,val,0
archery,k-BFTm62viE,2,12,val,0
archery,mnUVG7T6iKg,109,119,val,0
archery,MrI8XlHC4p0,0,10,val,0
archery,O9cTHUPbLE8,90,100,val,0
archery,oZ0QUyB18Zg,178,188,val,1
archery,oz3ruRsh-HY,517,527,val,0
archery,pMRAH0hgqB8,14,24,val,0
archery,pWOl7B7jf0U,0,10,val,0
archery,qhUuaUIH9iU,0,10,val,0
archery,RkjX0nbJJow,338,348,val,0
archery,rqIe-C6nEv0,4,14,val,0
archery,S0Xwh6F6tz0,31,41,val,0
archery,u2uhrc0GBOo,34,44,val,0
archery,uZ-pG-axjK4,481,491,val,0
archery,v66KBZB9N-A,0,10,val,0
archery,VADKkEVjQrU,1656,1666,val,0
archery,vCV2BCbibRc,2,12,val,0
archery,xrAuik7Wxns,36,46,val,1
archery,ZCz5i5RGe_Y,4,14,val,0
archery,_kQSkEioc08,5,15,val,0